AN,AC,AF,AC_sim,AF_sim
471986,16,3.3899310572771224e-05,2,4.237413821596403e-06
471240,31,6.578388931330108e-05,10,2.1220609455903574e-05
471094,6,1.2736311649055178e-05,30,6.36815582452759e-05
365118,0,0.0,2,5.477681187999496e-06
471208,0,0.0,6,1.2733230335647951e-05
471832,8,1.6955187439597144e-05,13,2.755217958934536e-05
471988,70,0.00014830885530988077,42,8.898531318592846e-05
471950,2,4.237737048416145e-06,0,0.0
469230,10,2.1311510346738275e-05,23,4.901647379749803e-05
466808,0,0.0,59,0.0001263902932254803
469426,40,8.52104485051957e-05,304,0.0006475994086394874
470373,5,1.0629861833055894e-05,3,6.377917099833536e-06
467332,5,1.069903195158902e-05,2,4.279612780635608e-06
431284,13,3.014255108003079e-05,18,4.173583995696571e-05
471368,5,1.0607423499261723e-05,2,4.242969399704689e-06
471686,3,6.360163328994288e-06,35,7.420190550493337e-05
470548,11,2.3376998733391705e-05,18,3.825327065464097e-05
471934,5,1.0594701801523095e-05,14,2.9665165044264664e-05
471926,3,6.356928840538559e-06,1,2.1189762801795196e-06
471928,4,8.475869200386499e-06,19,4.026037870183587e-05
471868,499,0.0010574991311129384,17,3.602702450685361e-05
471718,10,2.119910624568068e-05,8,1.6959284996544547e-05
469656,33,7.026419336706015e-05,23,4.89720135588601e-05
471944,12,2.542674554608174e-05,4,8.475581848693913e-06
471934,8,1.695152288243695e-05,77,0.00016315840774345564
462786,0,0.0,13,2.80907374034651e-05
471950,3,6.356605572624219e-06,11,2.33075537662888e-05
471112,4,8.490550017830155e-06,3,6.367912513372616e-06
471952,30,6.356578635115435e-05,43,9.111096043665458e-05
471776,30,6.35895001017432e-05,5,1.05982500169572e-05
471848,5,1.0596632813957038e-05,3,6.3579796883742225e-06
459850,5,1.0873110796999021e-05,4,8.698488637599217e-06
471518,2,4.241619620035714e-06,121,0.00025661798701216075
469120,4,8.526603001364257e-06,15,3.197476125511596e-05
471744,0,0.0,17,3.60364943698277e-05
440856,7,1.587820059157639e-05,12,2.721977244270238e-05
469184,23,4.9021279498022095e-05,41,8.738575910516983e-05
471358,0,0.0,12,2.5458356493365978e-05
466532,1,2.143475688698739e-06,6,1.2860854132192432e-05
468432,1,2.1347815691498446e-06,3,6.404344707449533e-06
471994,32,6.779747200176274e-05,6,1.2712026000330513e-05
472004,2,4.237252226676045e-06,3,6.355878340014068e-06
471980,6,1.2712403067926606e-05,863,0.001828467307936777
472006,2,4.237234272445689e-06,7,1.4830319953559912e-05
465672,14,3.0064079437887612e-05,45,9.663454105035304e-05
469558,2,4.259324726657836e-06,1,2.129662363328918e-06
471830,0,0.0,35,7.417925947904965e-05
446174,9,2.0171502597641278e-05,12,2.689533679685504e-05
462300,3,6.489292667099286e-06,2,4.326195111399524e-06
471366,6,1.2728962207711206e-05,7,1.4850455908996406e-05
471766,1,2.11969493350517e-06,11,2.3316644268556868e-05
471946,59,0.00012501430248375872,3,6.356659448326715e-06
471702,8,1.6959860250751535e-05,15,3.179973797015913e-05
471462,0,0.0,114981,0.24388179747254285
471818,0,0.0,18,3.815030371880683e-05
471108,10,2.1226555269704612e-05,14,2.9717177377586455e-05
471974,31,6.568158415505939e-05,11,2.3306368571150105e-05
365888,0,0.0,10,2.7330767885254505e-05
368194,3,8.147878564017883e-06,15,4.073939282008941e-05
471938,22,4.661629281812441e-05,12,2.5427068809886045e-05
471962,1,2.1188146503320182e-06,77,0.00016314872807556542
469232,41,8.737681999522625e-05,4,8.524567804412315e-06
471692,0,0.0,2,4.240054951112167e-06
471674,11,2.3321192179344208e-05,2586,0.005482600270525829
471976,3,6.356255402817092e-06,6,1.2712510805634185e-05
467192,0,0.0,7,1.4983133272830015e-05
471928,80,0.00016951738400773,3,6.356901900289875e-06
461022,0,0.0,13696,0.02970790981775273
471992,7,1.4830759843387177e-05,6,1.2712079865760436e-05
461028,0,0.0,5,1.0845328266395968e-05
471688,8,1.6960363630196233e-05,16,3.3920727260392466e-05
471942,8,1.6951235533179926e-05,33,6.99238465743672e-05
