AN,AC,AF,AC_sim,AF_sim
471986,16,3.3899310572771224e-05,7,1.4830948375587411e-05
471240,31,6.578388931330108e-05,1,2.1220609455903575e-06
471094,6,1.2736311649055178e-05,1,2.122718608175863e-06
365118,0,0.0,2,5.477681187999496e-06
471208,0,0.0,7,1.4855435391589277e-05
471832,8,1.6955187439597144e-05,13,2.755217958934536e-05
471988,70,0.00014830885530988077,182,0.00038560302380569
471950,2,4.237737048416145e-06,7,1.483207966945651e-05
469230,10,2.1311510346738275e-05,1,2.1311510346738275e-06
466808,0,0.0,8,1.7137666878031226e-05
469426,40,8.52104485051957e-05,27,5.75170527410071e-05
470373,5,1.0629861833055894e-05,11,2.3385696032722968e-05
467332,5,1.069903195158902e-05,4,8.559225561271217e-06
431284,13,3.014255108003079e-05,20,4.637315550773968e-05
471368,5,1.0607423499261723e-05,16,3.3943755197637515e-05
471686,3,6.360163328994288e-06,6,1.2720326657988577e-05
470548,11,2.3376998733391705e-05,7,1.4876271921249267e-05
471934,5,1.0594701801523095e-05,16,3.39030457648739e-05
471926,3,6.356928840538559e-06,4,8.475905120718079e-06
471928,4,8.475869200386499e-06,12,2.54276076011595e-05
471868,499,0.0010574991311129384,95,0.00020132748989124078
471718,10,2.119910624568068e-05,11,2.331901687024875e-05
469656,33,7.026419336706015e-05,6,1.2775307884920027e-05
471944,12,2.542674554608174e-05,2,4.2377909243469566e-06
471934,8,1.695152288243695e-05,5,1.0594701801523095e-05
462786,0,0.0,24,5.18598228987048e-05
471950,3,6.356605572624219e-06,14607,0.03095031253310732
471112,4,8.490550017830155e-06,4,8.490550017830155e-06
471952,30,6.356578635115435e-05,5,1.0594297725192392e-05
471776,30,6.35895001017432e-05,37,7.842705012548329e-05
471848,5,1.0596632813957038e-05,1,2.1193265627914072e-06
459850,5,1.0873110796999021e-05,9,1.9571599434598238e-05
471518,2,4.241619620035714e-06,10,2.1208098100178572e-05
469120,4,8.526603001364257e-06,0,0.0
471744,0,0.0,5,1.0598968932302265e-05
440856,7,1.587820059157639e-05,35,7.939100295788194e-05
469184,23,4.9021279498022095e-05,26,5.541535943254672e-05
471358,0,0.0,6,1.2729178246682989e-05
466532,1,2.143475688698739e-06,17,3.6439086707878556e-05
468432,1,2.1347815691498446e-06,1,2.1347815691498446e-06
471994,32,6.779747200176274e-05,33,6.991614300181782e-05
472004,2,4.237252226676045e-06,11,2.3304887246718247e-05
471980,6,1.2712403067926606e-05,10,2.1187338446544345e-05
472006,2,4.237234272445689e-06,65,0.0001377101138544849
465672,14,3.0064079437887612e-05,264,0.0005669226408287378
469558,2,4.259324726657836e-06,4,8.518649453315671e-06
471830,0,0.0,5,1.0597037068435666e-05
446174,9,2.0171502597641278e-05,3,6.72383419921376e-06
462300,3,6.489292667099286e-06,3,6.489292667099286e-06
471366,6,1.2728962207711206e-05,4,8.485974805140804e-06
471766,1,2.11969493350517e-06,13,2.7556034135567208e-05
471946,59,0.00012501430248375872,3,6.356659448326715e-06
471702,8,1.6959860250751535e-05,35,7.419938859703796e-05
471462,0,0.0,2,4.2421234373077785e-06
471818,0,0.0,8,1.6955690541691922e-05
471108,10,2.1226555269704612e-05,6,1.2735933161822766e-05
471974,31,6.568158415505939e-05,8,1.6950086233563715e-05
365888,0,0.0,51,0.00013938691621479798
368194,3,8.147878564017883e-06,20,5.431919042678588e-05
471938,22,4.661629281812441e-05,3,6.356767202471511e-06
471962,1,2.1188146503320182e-06,10,2.118814650332018e-05
469232,41,8.737681999522625e-05,3,6.3934258533092375e-06
471692,0,0.0,11,2.3320302231116914e-05
471674,11,2.3321192179344208e-05,19,4.028205921886727e-05
471976,3,6.356255402817092e-06,17,3.6018780615963525e-05
467192,0,0.0,0,0.0
471928,80,0.00016951738400773,9,1.9070705700869623e-05
461022,0,0.0,2,4.338187765442864e-06
471992,7,1.4830759843387177e-05,27,5.720435939592196e-05
461028,0,0.0,3,6.507196959837581e-06
471688,8,1.6960363630196233e-05,26,5.512118179813775e-05
471942,8,1.6951235533179926e-05,12,2.5426853299769887e-05
470544,3,6.375599306334795e-06,6,1.275119861266959e-05
471220,10,2.122151012266033e-05,7,1.485505708586223e-05
471936,17,3.602183346894494e-05,36,7.628152969894223e-05
471224,9,1.9099196984873435e-05,17,3.60762609714276e-05
470104,83,0.00017655667682044823,6,1.2763133264128788e-05
470562,9,1.912606627819501e-05,6,1.2750710852130006e-05
471086,25,5.3068866406558464e-05,38,8.066467693796887e-05
472012,4,8.47436082133505e-06,1,2.1185902053337626e-06
471920,70,0.0001483302254619427,3,6.357009662654687e-06
471928,21,4.449831330202912e-05,3,6.356901900289875e-06
471892,21,4.4501708017936305e-05,9,1.907216057911556e-05
471358,6,1.2729178246682989e-05,41,8.698271801900042e-05
471968,13,2.7544240287477116e-05,383,0.0008114956946233643
429510,3,6.984703499336453e-06,1,2.328234499778818e-06
471460,14,2.9694990030967632e-05,29,6.151105077843296e-05
471988,5,1.0593489664991483e-05,15,3.1780468994974445e-05
471934,0,0.0,41,8.687655477248937e-05
443748,1,2.253531283521278e-06,1,2.253531283521278e-06
