AN,AC,AF,AC_sim,AF_sim
471986,16,3.3899310572771224e-05,6,1.271224146478921e-05
471240,31,6.578388931330108e-05,1,2.1220609455903575e-06
471094,6,1.2736311649055178e-05,7,1.4859030257231041e-05
365118,0,0.0,0,0.0
471208,0,0.0,0,0.0
471832,8,1.6955187439597144e-05,24,5.086556231879143e-05
471988,70,0.00014830885530988077,28,5.9323542123952305e-05
471950,2,4.237737048416145e-06,3,6.356605572624219e-06
469230,10,2.1311510346738275e-05,2,4.262302069347655e-06
466808,0,0.0,8,1.7137666878031226e-05
469426,40,8.52104485051957e-05,2,4.2605224252597855e-06
470373,5,1.0629861833055894e-05,89,0.00018921154062839492
467332,5,1.069903195158902e-05,23,4.921554697730949e-05
431284,13,3.014255108003079e-05,0,0.0
471368,5,1.0607423499261723e-05,1,2.1214846998523447e-06
471686,3,6.360163328994288e-06,0,0.0
470548,11,2.3376998733391705e-05,4,8.500726812142438e-06
471934,5,1.0594701801523095e-05,22,4.6616687926701615e-05
471926,3,6.356928840538559e-06,5,1.0594881400897598e-05
471928,4,8.475869200386499e-06,33,6.992592090318862e-05
471868,499,0.0010574991311129384,2,4.238473471394542e-06
471718,10,2.119910624568068e-05,18,3.8158391242225225e-05
469656,33,7.026419336706015e-05,9,1.916296182738004e-05
471944,12,2.542674554608174e-05,3,6.356686386520435e-06
471934,8,1.695152288243695e-05,23,4.8735628287006236e-05
462786,0,0.0,0,0.0
471950,3,6.356605572624219e-06,5,1.0594342621040365e-05
471112,4,8.490550017830155e-06,3,6.367912513372616e-06
471952,30,6.356578635115435e-05,23,4.8733769535885e-05
471776,30,6.35895001017432e-05,2,4.23930000678288e-06
471848,5,1.0596632813957038e-05,9,1.9073939065122665e-05
459850,5,1.0873110796999021e-05,0,0.0
471518,2,4.241619620035714e-06,2,4.241619620035714e-06
469120,4,8.526603001364257e-06,0,0.0
471744,0,0.0,7,1.4838556505223173e-05
440856,7,1.587820059157639e-05,143,0.00032436895494220334
469184,23,4.9021279498022095e-05,10,2.131359978174874e-05
471358,0,0.0,6,1.2729178246682989e-05
466532,1,2.143475688698739e-06,3,6.430427066096216e-06
468432,1,2.1347815691498446e-06,91,0.00019426512279263587
471994,32,6.779747200176274e-05,109,0.0002309351390060043
472004,2,4.237252226676045e-06,6,1.2711756680028135e-05
471980,6,1.2712403067926606e-05,0,0.0
472006,2,4.237234272445689e-06,0,0.0
465672,14,3.0064079437887612e-05,21,4.509611915683142e-05
469558,2,4.259324726657836e-06,129,0.0002747264448694304
471830,0,0.0,15,3.1791111205306995e-05
446174,9,2.0171502597641278e-05,11,2.4654058730450453e-05
462300,3,6.489292667099286e-06,3,6.489292667099286e-06
471366,6,1.2728962207711206e-05,0,0.0
471766,1,2.11969493350517e-06,7,1.483786453453619e-05
471946,59,0.00012501430248375872,3,6.356659448326715e-06
471702,8,1.6959860250751535e-05,58,0.00012295898681794862
471462,0,0.0,3,6.363185155961668e-06
471818,0,0.0,25,5.298653294278726e-05
471108,10,2.1226555269704612e-05,0,0.0
471974,31,6.568158415505939e-05,7,1.483132545436825e-05
365888,0,0.0,1,2.7330767885254503e-06
368194,3,8.147878564017883e-06,0,0.0
471938,22,4.661629281812441e-05,313,0.000663222711457861
471962,1,2.1188146503320182e-06,3,6.356443950996055e-06
469232,41,8.737681999522625e-05,7,1.4917993657721554e-05
471692,0,0.0,6,1.27201648533365e-05
471674,11,2.3321192179344208e-05,17,3.6041842458986506e-05
471976,3,6.356255402817092e-06,0,0.0
467192,0,0.0,0,0.0
471928,80,0.00016951738400773,67,0.00014197080910647388
461022,0,0.0,1,2.169093882721432e-06
471992,7,1.4830759843387177e-05,203,0.0004300920354582281
461028,0,0.0,18,3.904318175902548e-05
471688,8,1.6960363630196233e-05,1,2.120045453774529e-06
471942,8,1.6951235533179926e-05,0,0.0
470544,3,6.375599306334795e-06,29,6.163079329456969e-05
471220,10,2.122151012266033e-05,1,2.1221510122660327e-06
471936,17,3.602183346894494e-05,9,1.9070382424735558e-05
471224,9,1.9099196984873435e-05,1,2.1221329983192705e-06
470104,83,0.00017655667682044823,11,2.3399077650902778e-05
470562,9,1.912606627819501e-05,10,2.125118475355001e-05
471086,25,5.3068866406558464e-05,2,4.245509312524677e-06
472012,4,8.47436082133505e-06,2,4.237180410667525e-06
471920,70,0.0001483302254619427,17,3.602305475504323e-05
471928,21,4.449831330202912e-05,20,4.23793460019325e-05
471892,21,4.4501708017936305e-05,3,6.3573868597051865e-06
471358,6,1.2729178246682989e-05,1,2.121529707780498e-06
471968,13,2.7544240287477116e-05,17,3.6019391145162384e-05
429510,3,6.984703499336453e-06,8,1.8625875998230543e-05
471460,14,2.9694990030967632e-05,0,0.0
471988,5,1.0593489664991483e-05,11,2.3305677262981263e-05
471934,0,0.0,1,2.118940360304619e-06
443748,1,2.253531283521278e-06,0,0.0
471732,30,6.359543130421511e-05,55,0.00011659162405772769
471912,5,1.0595195714455238e-05,0,0.0
471236,888,0.0018844061149827262,29,6.154028979110254e-05
471544,4,8.482771491101573e-06,4,8.482771491101573e-06
471334,1,2.1216377346000924e-06,5,1.0608188673000462e-05
471288,7,1.485291371730237e-05,3,6.365534450272445e-06
471758,10,2.1197308789676063e-05,0,0.0
471510,15,3.1812686899535535e-05,0,0.0
471524,11,2.332861105691333e-05,9404,0.01994384167083754
471444,5,1.0605713509982098e-05,0,0.0
471930,14,2.9665416481257815e-05,0,0.0
471904,7,1.4833525462805995e-05,0,0.0
471448,1,2.121124705163666e-06,9,1.9090122346472995e-05
471924,24,5.0855646248124696e-05,0,0.0
471898,21,4.450114219598303e-05,0,0.0
455362,0,0.0,1,2.19605500678581e-06
418722,9,2.1493974522475533e-05,2,4.776438782772341e-06
471956,9,1.9069574282348353e-05,0,0.0
434126,4,9.213914854212832e-06,23,5.298001041172379e-05
471962,7,1.4831702552324128e-05,5,1.059407325166009e-05
471344,11,2.333751994297159e-05,0,0.0
470413,16,3.401266546630301e-05,233,0.0004953094408530377
471710,22,4.663882470161752e-05,2,4.239893154692502e-06
470977,14,2.9725443068345163e-05,2,4.246491866906452e-06
471932,2,4.2378986803183505e-06,1,2.1189493401591753e-06
471682,39,8.268282444528304e-05,2,4.240144843347849e-06
467010,3,6.423845313804844e-06,2,4.282563542536563e-06
470470,19,4.038514676812549e-05,16,3.4008544646842516e-05
461070,17,3.6870757151842455e-05,1,2.1688680677554386e-06
471720,10,2.1199016365640635e-05,15,3.179852454846095e-05
471868,0,0.0,123,0.00026066611849076435
472006,0,0.0,0,0.0
468920,1,2.1325599249338907e-06,0,0.0
470844,6,1.2743074139205342e-05,18,3.8229222417616025e-05
470400,7,1.4880952380952381e-05,1,2.1258503401360544e-06
457276,3,6.560589228387232e-06,9,1.9681767685161697e-05
471012,10,2.123088159112719e-05,47,9.978514347829779e-05
460636,19,4.124731892426992e-05,4,8.683646089319984e-06
435050,0,0.0,0,0.0
418240,6,1.4345830145371079e-05,2,4.781943381790359e-06
471168,4,8.489540885628905e-06,1,2.122385221407226e-06
471898,3,6.357306027997576e-06,140,0.00029667428130655354
472010,9,1.906739263998644e-05,0,0.0
471212,4,8.48874816430821e-06,24,5.0932488985849255e-05
471366,0,0.0,4,8.485974805140804e-06
471962,3,6.356443950996055e-06,2,4.2376293006640364e-06
471994,54,0.00011440823400297461,2,4.237342000110171e-06
471962,6,1.271288790199211e-05,2,4.2376293006640364e-06
471832,7,1.4835789009647501e-05,5776,0.012241645331389139
471938,3,6.356767202471511e-06,7,1.483245680576686e-05
471938,6,1.2713534404943022e-05,19,4.0259525615652906e-05
472006,16,3.389787417956551e-05,28,5.9321279814239646e-05
471914,1,2.1190301622753296e-06,2,4.238060324550659e-06
471940,213,0.0004513285587150909,0,0.0
471402,8,1.697065349743955e-05,4,8.485326748719775e-06
471804,1,2.1195242092055175e-06,5,1.0597621046027588e-05
471936,4,8.475725522104692e-06,3,6.356794141578519e-06
471336,6,1.2729772391669637e-05,5711,0.01211662168813755
471774,14,2.9675225849665307e-05,0,0.0
471736,1998,0.004235419811080774,25,5.299574338189157e-05
471894,0,0.0,12,2.542943966229704e-05
471978,3270,0.0069282890304209095,0,0.0
470466,8,1.7004416897289072e-05,3,6.376656336483401e-06
471952,13,2.754517408550022e-05,1,2.1188595450384784e-06
471910,1,2.1190481235828867e-06,3,6.35714437074866e-06
471812,5,1.0597441353759548e-05,1,2.1194882707519097e-06
469364,17,3.621922431204779e-05,1,2.1305426065910464e-06
470492,20,4.250869302772417e-05,19,4.038325837633796e-05
471816,1,2.1194703019821287e-06,0,0.0
471052,1,2.1229078742898873e-06,5,1.0614539371449436e-05
471324,1,2.1216827490219042e-06,75,0.0001591262061766428
471600,5,1.0602205258693808e-05,18,3.816793893129771e-05
471944,37,7.839913210041869e-05,0,0.0
471820,12,2.543342800220423e-05,49,0.00010385316434233394
471740,2,4.239623521431297e-06,0,0.0
471914,44,9.32373271401145e-05,0,0.0
468580,14,2.9877502240812668e-05,566,0.0012079047334499979
471754,3,6.35924655646799e-06,16,3.391598163449595e-05
471812,3,6.358464812255729e-06,0,0.0
471974,5,1.0593803895977321e-05,5,1.0593803895977321e-05
471914,3,6.357090486825989e-06,86172,0.18260106714358973
471670,1,2.120126359531028e-06,1,2.120126359531028e-06
471776,1,2.11965000339144e-06,31,6.570915010513464e-05
471720,19,4.0278131094717204e-05,512,0.0010853896379208006
466488,1,2.143677865239835e-06,0,0.0
463982,31,6.681293670875163e-05,3,6.465768068588867e-06
468160,0,0.0,588,0.001255980861244019
468808,16,3.4129110424736776e-05,2,4.266138803092097e-06
471994,4,8.474684000220342e-06,0,0.0
471400,34,7.212558336868901e-05,8,1.6970725498515063e-05
471026,4,8.492100223766841e-06,1,2.1230250559417102e-06
471586,1,2.120504001391051e-06,8,1.6964032011128407e-05
456608,13595,0.02977389796061392,1,2.1900623729763824e-06
471760,1,2.1197218924877055e-06,0,0.0
457982,56,0.00012227554794729925,28,6.113777397364962e-05
468778,2,4.266411819667305e-06,10,2.1332059098336527e-05
469760,129,0.000274608310626703,87,0.0001852009536784741
471710,4,8.479786309385004e-06,51,0.00010811727544465879
471858,7,1.4834971538047463e-05,4,8.47712659316998e-06
468432,6,1.2808689414899067e-05,16,3.4156505106397514e-05
467278,3,6.420161017638323e-06,95508,0.20439224615753362
471942,16,3.390247106635985e-05,7,1.4832331091532434e-05
471440,12,2.5453928389614797e-05,82,0.00017393517732903444
471308,27,5.7287378953890026e-05,1,2.121754776070001e-06
471506,39,8.271368763069824e-05,1,2.1208637854025187e-06
471314,0,0.0,6,1.2730366592123298e-05
471000,0,0.0,26,5.5201698513800426e-05
471732,18,3.8157258782529064e-05,46,9.751299466646316e-05
471836,6,1.2716282776218856e-05,47,9.961088174704771e-05
471852,47,9.960750404787941e-05,18,3.8147554741741054e-05
469684,27,5.748545830813909e-05,1,2.129091048449596e-06
