AN,AC,AF,AC_sim,AF_sim
471986,16,3.3899310572771224e-05,8,1.6949655286385612e-05
471240,31,6.578388931330108e-05,3,6.366182836771072e-06
471094,6,1.2736311649055178e-05,6,1.2736311649055178e-05
365118,0,0.0,1,2.738840593999748e-06
471208,0,0.0,67,0.0001421877387480688
471832,8,1.6955187439597144e-05,17,3.602977330914393e-05
471988,70,0.00014830885530988077,3,6.35609379899489e-06
471950,2,4.237737048416145e-06,4,8.47547409683229e-06
469230,10,2.1311510346738275e-05,10,2.1311510346738275e-05
466808,0,0.0,23,4.927079227433977e-05
469426,40,8.52104485051957e-05,16,3.4084179402078284e-05
470373,5,1.0629861833055894e-05,4,8.503889466444715e-06
467332,5,1.069903195158902e-05,3,6.4194191709534124e-06
431284,13,3.014255108003079e-05,11,2.5505235529256824e-05
471368,5,1.0607423499261723e-05,7,1.4850392898966413e-05
471686,3,6.360163328994288e-06,2,4.240108885996192e-06
470548,11,2.3376998733391705e-05,51,0.00010838426685481609
471934,5,1.0594701801523095e-05,3,6.356821080913856e-06
471926,3,6.356928840538559e-06,3,6.356928840538559e-06
471928,4,8.475869200386499e-06,7,1.4832771100676375e-05
471868,499,0.0010574991311129384,8,1.695389388557817e-05
471718,10,2.119910624568068e-05,7,1.4839374371976478e-05
469656,33,7.026419336706015e-05,2,4.258435961640009e-06
471944,12,2.542674554608174e-05,6,1.271337277304087e-05
471934,8,1.695152288243695e-05,12,2.5427284323655425e-05
462786,0,0.0,13,2.80907374034651e-05
471950,3,6.356605572624219e-06,9,1.9069816717872656e-05
471112,4,8.490550017830155e-06,0,0.0
471952,30,6.356578635115435e-05,84,0.0001779842017832322
471776,30,6.35895001017432e-05,0,0.0
471848,5,1.0596632813957038e-05,10,2.1193265627914076e-05
459850,5,1.0873110796999021e-05,5,1.0873110796999021e-05
471518,2,4.241619620035714e-06,22,4.665781582039286e-05
469120,4,8.526603001364257e-06,24,5.1159618008185536e-05
471744,0,0.0,5,1.0598968932302265e-05
440856,7,1.587820059157639e-05,2,4.536628740450397e-06
469184,23,4.9021279498022095e-05,198,0.000422009275678625
471358,0,0.0,17,3.606600503226847e-05
466532,1,2.143475688698739e-06,1,2.143475688698739e-06
468432,1,2.1347815691498446e-06,15,3.202172353724767e-05
471994,32,6.779747200176274e-05,3,6.3560130001652565e-06
472004,2,4.237252226676045e-06,1,2.1186261133380226e-06
471980,6,1.2712403067926606e-05,1,2.1187338446544347e-06
472006,2,4.237234272445689e-06,5,1.0593085681114224e-05
465672,14,3.0064079437887612e-05,3,6.442302736690202e-06
469558,2,4.259324726657836e-06,4,8.518649453315671e-06
471830,0,0.0,5,1.0597037068435666e-05
446174,9,2.0171502597641278e-05,5,1.1206390332022933e-05
462300,3,6.489292667099286e-06,7,1.5141682889898334e-05
471366,6,1.2728962207711206e-05,5,1.0607468506426004e-05
471766,1,2.11969493350517e-06,7,1.483786453453619e-05
471946,59,0.00012501430248375872,8,1.6951091862204574e-05
471702,8,1.6959860250751535e-05,9,1.9079842782095476e-05
471462,0,0.0,3,6.363185155961668e-06
471818,0,0.0,3,6.358383953134471e-06
471108,10,2.1226555269704612e-05,4,8.490622107881845e-06
471974,31,6.568158415505939e-05,33,6.991910571345032e-05
365888,0,0.0,29,7.925922686723806e-05
368194,3,8.147878564017883e-06,1,2.715959521339294e-06
471938,22,4.661629281812441e-05,3,6.356767202471511e-06
471962,1,2.1188146503320182e-06,11,2.3306961153652202e-05
469232,41,8.737681999522625e-05,5,1.0655709755515396e-05
471692,0,0.0,6,1.27201648533365e-05
471674,11,2.3321192179344208e-05,10,2.1201083799403827e-05
471976,3,6.356255402817092e-06,21,4.449378781971965e-05
467192,0,0.0,7,1.4983133272830015e-05
471928,80,0.00016951738400773,6,1.271380380057975e-05
461022,0,0.0,55,0.00011930016354967876
471992,7,1.4830759843387177e-05,2,4.237359955253479e-06
461028,0,0.0,38,8.242449482460936e-05
471688,8,1.6960363630196233e-05,63,0.00013356286358779532
471942,8,1.6951235533179926e-05,105,0.00022248496637298652
470544,3,6.375599306334795e-06,4,8.500799075113061e-06
471220,10,2.122151012266033e-05,48,0.00010186324858876957
471936,17,3.602183346894494e-05,4,8.475725522104692e-06
471224,9,1.9099196984873435e-05,645,0.0013687757839159296
470104,83,0.00017655667682044823,2,4.254377754709596e-06
470562,9,1.912606627819501e-05,0,0.0
